,Minisector,Lap,Compound,TyreLife,Speed,Distance,Piting,TrackStatus,Driver,LapTime,Speed-1
423,3,8,1,4.0,160.23170731707316,45642.82166666669,0.0,0.0,7,140.478,141.1875
424,3,8,0,3.0,270.46938775510205,45644.91361111114,0.0,0.0,8,83.428,219.672131147541
425,3,8,0,3.0,214.93650793650792,45645.99250000003,0.0,0.0,9,106.062,176.0810810810811
426,3,8,0,4.0,269.04,45648.120000000024,0.0,0.0,3,83.628,218.05084745762713
427,3,8,0,9.0,268.9795918367347,45645.523888888914,0.0,0.0,2,83.35,220.27868852459017
428,4,8,1,3.0,210.68253968253967,46067.937777777806,0.0,0.0,0,83.189,272.40816326530614
429,4,8,1,3.0,210.046875,46071.76500000003,0.0,0.0,1,83.185,272.59183673469386
430,4,8,1,3.0,209.06349206349208,46068.724166666696,0.0,0.0,5,83.246,270.54
431,4,8,1,4.0,135.15,46072.311111111136,0.0,0.0,7,140.478,160.23170731707316
432,4,8,0,3.0,208.71428571428572,46070.316666666695,0.0,0.0,8,83.428,270.46938775510205
433,4,8,0,3.0,171.45454545454547,46070.193611111135,0.0,0.0,9,106.062,214.93650793650792
434,4,8,0,4.0,204.140625,46072.877500000024,0.0,0.0,3,83.628,269.04
435,4,8,0,9.0,209.953125,46069.647777777805,0.0,0.0,2,83.35,268.9795918367347
436,5,8,1,3.0,238.29090909090908,46483.19861111114,0.0,0.0,0,83.189,210.68253968253967
437,5,8,1,3.0,242.98181818181817,46494.93750000003,0.0,0.0,1,83.185,210.046875
438,5,8,1,3.0,238.21818181818182,46486.07916666669,0.0,0.0,5,83.246,209.06349206349208
439,5,8,1,4.0,100.92424242424242,46495.886666666695,0.0,0.0,7,140.478,135.15
440,5,8,0,3.0,241.01818181818183,46490.3816666667,0.0,0.0,8,83.428,208.71428571428572
441,5,8,0,3.0,213.2258064516129,46492.553611111136,0.0,0.0,9,106.062,171.45454545454547
442,5,8,0,4.0,242.62962962962962,46487.96638888892,0.0,0.0,3,83.628,204.140625
443,5,8,0,9.0,240.05357142857142,46492.12888888892,0.0,0.0,2,83.35,209.953125
444,6,8,1,3.0,315.4418604651163,46919.56250000003,0.0,0.0,0,83.189,238.29090909090908
445,6,8,1,3.0,311.0952380952381,46909.42972222225,0.0,0.0,1,83.185,242.98181818181817
446,6,8,1,3.0,310.6136363636364,46920.713055555585,0.0,0.0,5,83.246,238.21818181818182
447,6,8,1,4.0,243.0,46907.027500000026,0.0,0.0,7,140.478,100.92424242424242
448,6,8,0,3.0,311.6190476190476,46907.21222222225,0.0,0.0,8,83.428,241.01818181818183
449,6,8,0,3.0,272.6666666666667,46908.980000000025,0.0,0.0,9,106.062,213.2258064516129
450,6,8,0,4.0,310.0681818181818,46921.92000000003,0.0,0.0,3,83.628,242.62962962962962
451,6,8,0,9.0,312.0,46911.533333333355,0.0,0.0,2,83.35,240.05357142857142
452,7,8,1,3.0,165.62962962962962,47346.157222222246,0.0,0.0,0,83.189,315.4418604651163
453,7,8,1,3.0,169.75,47345.51750000002,0.0,0.0,1,83.185,311.0952380952381
454,7,8,1,3.0,165.075,47346.29388888892,0.0,0.0,5,83.246,310.6136363636364
455,7,8,1,4.0,103.78030303030303,47346.21833333336,0.0,0.0,7,140.478,243.0
456,7,8,0,3.0,167.0,47341.55500000003,0.0,0.0,8,83.428,311.6190476190476
457,7,8,0,3.0,135.72,47346.3966666667,0.0,0.0,9,106.062,272.6666666666667
458,7,8,0,4.0,165.1038961038961,47339.480000000025,0.0,0.0,3,83.628,310.0681818181818
