,Minisector,Lap,Compound,TyreLife,Speed,Distance,Piting,TrackStatus,Driver,LapTime,Speed-1
2676,13,24,1,29.0,175.40983606557376,151714.96444444454,0.0,0.0,5,89.097,190.3768115942029
2677,1,25,2,12.0,253.80769230769232,153071.4111111112,0.0,0.0,0,88.041,172.77966101694915
2678,1,25,2,12.0,254.37037037037038,153080.97055555563,0.0,0.0,1,87.87,178.61666666666667
2679,1,25,1,30.0,250.07142857142858,153081.0311111112,0.0,0.0,5,88.871,175.40983606557376
2680,2,25,2,12.0,207.59375,153504.37138888898,0.0,0.0,0,88.041,253.80769230769232
2681,2,25,2,12.0,208.9672131147541,153503.88555555564,0.0,0.0,1,87.87,254.37037037037038
2682,2,25,1,30.0,204.31746031746033,153503.603888889,0.0,0.0,5,88.871,250.07142857142858
2683,3,25,2,12.0,261.5,153928.41916666675,0.0,0.0,0,88.041,207.59375
2684,3,25,2,12.0,260.4117647058824,153916.01555555564,0.0,0.0,1,87.87,208.9672131147541
2685,3,25,1,30.0,258.54901960784315,153928.8497222223,0.0,0.0,5,88.871,204.31746031746033
2686,4,25,2,12.0,196.22058823529412,154351.02027777786,0.0,0.0,0,88.041,261.5
2687,4,25,2,12.0,200.0,154351.636388889,0.0,0.0,1,87.87,260.4117647058824
2688,4,25,1,30.0,196.23529411764707,154354.43805555566,0.0,0.0,5,88.871,258.54901960784315
2689,5,25,2,12.0,233.39285714285714,154772.9636111112,0.0,0.0,0,88.041,196.22058823529412
2690,5,25,2,12.0,230.57894736842104,154779.25833333342,0.0,0.0,1,87.87,200.0
2691,5,25,1,30.0,226.24137931034483,154779.10916666675,0.0,0.0,5,88.871,196.23529411764707
2692,6,25,2,12.0,301.5581395348837,155195.04444444453,0.0,0.0,0,88.041,233.39285714285714
2693,6,25,2,12.0,298.8181818181818,155198.98333333342,0.0,0.0,1,87.87,230.57894736842104
2694,6,25,1,30.0,295.86046511627904,155199.85555555564,0.0,0.0,5,88.871,226.24137931034483
2695,7,25,2,12.0,154.625,155627.2611111112,0.0,0.0,0,88.041,301.5581395348837
2696,7,25,2,12.0,155.08235294117648,155627.67750000008,0.0,0.0,1,87.87,298.8181818181818
2697,7,25,1,30.0,153.67857142857142,155623.5125000001,0.0,0.0,5,88.871,295.86046511627904
2698,8,25,2,12.0,249.23076923076923,156052.3661111112,0.0,0.0,0,88.041,154.625
2699,8,25,2,12.0,245.0188679245283,156047.4958333334,0.0,0.0,1,87.87,155.08235294117648
2700,8,25,1,30.0,240.75925925925927,156047.61722222232,0.0,0.0,5,88.871,153.67857142857142
2701,9,25,2,12.0,285.8863636363636,156471.7508333334,0.0,0.0,0,88.041,249.23076923076923
2702,9,25,2,12.0,282.4347826086956,156477.88194444453,0.0,0.0,1,87.87,245.0188679245283
2703,9,25,1,30.0,281.74468085106383,156478.0436111112,0.0,0.0,5,88.871,240.75925925925927
2704,10,25,2,12.0,204.21875,156894.91444444453,0.0,0.0,0,88.041,285.8863636363636
2705,10,25,2,12.0,202.0,156899.15444444452,0.0,0.0,1,87.87,282.4347826086956
2706,10,25,1,30.0,203.3125,156897.83583333343,0.0,0.0,5,88.871,281.74468085106383
2707,11,25,2,12.0,172.7012987012987,157325.73694444454,0.0,0.0,0,88.041,204.21875
2708,11,25,2,12.0,175.68,157324.39916666676,0.0,0.0,1,87.87,202.0
2709,11,25,1,30.0,172.23684210526315,157325.55638888897,0.0,0.0,5,88.871,203.3125
2710,12,25,2,12.0,196.16923076923078,157746.82722222232,0.0,0.0,0,88.041,172.7012987012987
2711,12,25,2,12.0,193.77611940298507,157750.42805555565,0.0,0.0,1,87.87,175.68
2712,12,25,1,30.0,192.14705882352942,157741.97333333342,0.0,0.0,5,88.871,172.23684210526315
2713,13,25,2,12.0,176.48333333333332,158077.7661111112,0.0,0.0,0,88.041,196.16923076923078
2714,13,25,2,12.0,179.0,158085.35583333342,0.0,0.0,1,87.87,193.77611940298507
2715,13,25,1,30.0,175.23728813559322,158084.71444444454,0.0,0.0,5,88.871,192.14705882352942
2716,1,27,2,4.0,252.66666666666666,165811.08694444454,0.0,0.0,8,89.691,37.35
2717,1,27,2,4.0,252.92592592592592,165812.99972222233,0.0,0.0,9,90.894,80.46808510638297
2718,1,27,2,6.0,254.33333333333334,165816.81305555566,0.0,0.0,2,88.051,180.28813559322035
2719,1,27,2,8.0,252.30769230769232,165818.42055555564,0.0,0.0,6,89.666,173.98360655737704
2720,1,27,2,9.0,251.6153846153846,165812.42444444454,0.0,0.0,4,89.289,173.91935483870967
2721,1,27,2,10.0,252.25925925925927,165813.01027777788,0.0,0.0,7,89.183,171.8
2722,1,27,2,14.0,253.76923076923077,165805.61666666676,0.0,0.0,0,88.348,176.48333333333332
2723,1,27,2,14.0,255.74074074074073,165819.57583333342,0.0,0.0,1,87.975,179.0
2724,1,27,1,32.0,251.66666666666666,165820.05777777787,0.0,0.0,5,88.927,175.23728813559322
2725,2,27,2,4.0,206.1846153846154,166241.16083333344,0.0,0.0,8,89.691,252.66666666666666
2726,2,27,2,4.0,199.83823529411765,166243.65055555565,0.0,0.0,9,90.894,252.92592592592592
2727,2,27,2,6.0,203.11111111111111,166239.576388889,0.0,0.0,2,88.051,254.33333333333334
2728,2,27,2,8.0,204.73846153846154,166242.30444444454,0.0,0.0,6,89.666,252.30769230769232
2729,2,27,2,9.0,204.36923076923077,166244.36916666676,0.0,0.0,4,89.289,251.6153846153846
2730,2,27,2,10.0,205.71875,166234.7975000001,0.0,0.0,7,89.183,252.25925925925927
2731,2,27,2,14.0,204.609375,166241.11694444454,0.0,0.0,0,88.348,253.76923076923077
2732,2,27,2,14.0,208.31746031746033,166242.72333333344,0.0,0.0,1,87.975,255.74074074074073
2733,2,27,1,32.0,204.88888888888889,166238.61861111122,0.0,0.0,5,88.927,251.66666666666666
2734,3,27,2,4.0,259.18,166664.47805555566,0.0,0.0,8,89.691,206.1846153846154
2735,3,27,2,4.0,261.875,166657.52444444454,0.0,0.0,9,90.894,199.83823529411765
2736,3,27,2,6.0,261.64,166654.71055555565,0.0,0.0,2,88.051,203.11111111111111
2737,3,27,2,8.0,259.8076923076923,166669.44944444453,0.0,0.0,6,89.666,204.73846153846154
2738,3,27,2,9.0,259.03921568627453,166658.75805555566,0.0,0.0,4,89.289,204.36923076923077
2739,3,27,2,10.0,259.0,166660.29194444453,0.0,0.0,7,89.183,205.71875
2740,3,27,2,14.0,261.0,166661.93555555565,0.0,0.0,0,88.348,204.609375
2741,3,27,2,14.0,259.3673469387755,166665.52361111122,0.0,0.0,1,87.975,208.31746031746033
2742,3,27,1,32.0,259.12,166666.1761111112,0.0,0.0,5,88.927,204.88888888888889
2743,4,27,2,4.0,191.3,167088.90083333344,0.0,0.0,8,89.691,259.18
2744,4,27,2,4.0,187.65277777777777,167091.03333333344,0.0,0.0,9,90.894,261.875
2745,4,27,2,6.0,195.05797101449275,167093.65361111122,0.0,0.0,2,88.051,261.64
2746,4,27,2,8.0,189.92537313432837,167088.27027777786,0.0,0.0,6,89.666,259.8076923076923
2747,4,27,2,9.0,191.07246376811594,167088.74416666676,0.0,0.0,4,89.289,259.03921568627453
2748,4,27,2,10.0,189.87142857142857,167091.1961111112,0.0,0.0,7,89.183,259.0
2749,4,27,2,14.0,196.91044776119404,167089.9475000001,0.0,0.0,0,88.348,261.0
2750,4,27,2,14.0,199.46268656716418,167094.2236111112,0.0,0.0,1,87.975,259.3673469387755
2751,4,27,1,32.0,195.07246376811594,167093.9161111112,0.0,0.0,5,88.927,259.12
2752,5,27,2,4.0,230.07142857142858,167509.67861111122,0.0,0.0,8,89.691,191.3
2753,5,27,2,4.0,237.57407407407408,167512.6450000001,0.0,0.0,9,90.894,187.65277777777777
2754,5,27,2,6.0,234.75,167513.0036111112,0.0,0.0,2,88.051,195.05797101449275
2755,5,27,2,8.0,229.82758620689654,167506.12027777787,0.0,0.0,6,89.666,189.92537313432837
2756,5,27,2,9.0,234.73214285714286,167514.42805555565,0.0,0.0,4,89.289,191.07246376811594
2757,5,27,2,10.0,233.26315789473685,167517.59833333344,0.0,0.0,7,89.183,189.87142857142857
2758,5,27,2,14.0,234.52727272727273,167515.91166666677,0.0,0.0,0,88.348,196.91044776119404
2759,5,27,2,14.0,232.5818181818182,167515.18055555565,0.0,0.0,1,87.975,199.46268656716418
2760,5,27,1,32.0,231.68965517241378,167517.47555555566,0.0,0.0,5,88.927,195.07246376811594
2761,6,27,2,4.0,299.2888888888889,167941.60722222232,0.0,0.0,8,89.691,230.07142857142858
2762,6,27,2,4.0,316.0,167933.81694444455,0.0,0.0,9,90.894,237.57407407407408
2763,6,27,2,6.0,300.6744186046512,167938.5250000001,0.0,0.0,2,88.051,234.75
2764,6,27,2,8.0,298.3333333333333,167941.84638888898,0.0,0.0,6,89.666,229.82758620689654
2765,6,27,2,9.0,296.6,167943.12555555566,0.0,0.0,4,89.289,234.73214285714286
2766,6,27,2,10.0,297.5348837209302,167933.93805555566,0.0,0.0,7,89.183,233.26315789473685
2767,6,27,2,14.0,301.51162790697674,167943.2125000001,0.0,0.0,0,88.348,234.52727272727273
2768,6,27,2,14.0,300.04651162790697,167938.64944444454,0.0,0.0,1,87.975,232.5818181818182
2769,6,27,1,32.0,296.4761904761905,167929.143888889,0.0,0.0,5,88.927,231.68965517241378
2770,7,27,2,4.0,151.56976744186048,168366.92055555564,0.0,0.0,8,89.691,299.2888888888889
2771,7,27,2,4.0,151.11363636363637,168367.39861111122,0.0,0.0,9,90.894,316.0
2772,7,27,2,6.0,155.75581395348837,168367.07444444453,0.0,0.0,2,88.051,300.6744186046512
2773,7,27,2,8.0,148.77011494252875,168363.11972222233,0.0,0.0,6,89.666,298.3333333333333
2774,7,27,2,9.0,151.11764705882354,168367.71527777787,0.0,0.0,4,89.289,296.6
2775,7,27,2,10.0,149.9659090909091,168367.50166666677,0.0,0.0,7,89.183,297.5348837209302
2776,7,27,2,14.0,152.5568181818182,168367.60027777788,0.0,0.0,0,88.348,301.51162790697674
2777,7,27,2,14.0,154.87209302325581,168364.90555555566,0.0,0.0,1,87.975,300.04651162790697
2778,7,27,1,32.0,153.8409090909091,168360.39694444454,0.0,0.0,5,88.927,296.4761904761905
2779,8,27,2,4.0,246.67307692307693,168786.62111111122,0.0,0.0,8,89.691,151.56976744186048
2780,8,27,2,4.0,254.64,168785.27555555565,0.0,0.0,9,90.894,151.11363636363637
2781,8,27,2,6.0,249.57692307692307,168792.21055555565,0.0,0.0,2,88.051,155.75581395348837
2782,8,27,2,8.0,244.18867924528303,168776.92083333342,0.0,0.0,6,89.666,148.77011494252875
2783,8,27,2,9.0,245.22641509433961,168792.75194444455,0.0,0.0,4,89.289,151.11764705882354
2784,8,27,2,10.0,250.47058823529412,168780.44916666677,0.0,0.0,7,89.183,149.9659090909091
2785,8,27,2,14.0,248.24074074074073,168790.80305555565,0.0,0.0,0,88.348,152.5568181818182
2786,8,27,2,14.0,246.9433962264151,168780.30194444454,0.0,0.0,1,87.975,154.87209302325581
2787,8,27,1,32.0,243.9090909090909,168790.21166666676,0.0,0.0,5,88.927,153.8409090909091
2788,9,27,2,4.0,278.9574468085106,169210.79472222232,0.0,0.0,8,89.691,246.67307692307693
2789,9,27,2,4.0,281.265306122449,169214.77361111122,0.0,0.0,9,90.894,254.64
2790,9,27,2,6.0,285.9782608695652,169209.13833333342,0.0,0.0,2,88.051,249.57692307692307
2791,9,27,2,8.0,282.67391304347825,169211.20666666675,0.0,0.0,6,89.666,244.18867924528303
2792,9,27,2,9.0,278.6521739130435,169215.15916666677,0.0,0.0,4,89.289,245.22641509433961
2793,9,27,2,10.0,275.0625,169217.04055555566,0.0,0.0,7,89.183,250.47058823529412
2794,9,27,2,14.0,283.9555555555556,169214.6372222223,0.0,0.0,0,88.348,248.24074074074073
2795,9,27,2,14.0,282.3829787234043,169212.60083333345,0.0,0.0,1,87.975,246.9433962264151
2796,9,27,1,32.0,278.04347826086956,169214.98472222232,0.0,0.0,5,88.927,243.9090909090909
2797,10,27,2,4.0,194.46969696969697,169639.25222222233,0.0,0.0,8,89.691,278.9574468085106
2798,10,27,2,4.0,194.19117647058823,169629.98472222232,0.0,0.0,9,90.894,281.265306122449
2799,10,27,2,6.0,201.75384615384615,169640.7377777779,0.0,0.0,2,88.051,285.9782608695652
2800,10,27,2,8.0,199.13846153846154,169633.17472222232,0.0,0.0,6,89.666,282.67391304347825
2801,10,27,2,9.0,201.8181818181818,169635.17555555564,0.0,0.0,4,89.289,278.6521739130435
2802,10,27,2,10.0,202.046875,169634.2225000001,0.0,0.0,7,89.183,275.0625
2803,10,27,2,14.0,203.43076923076924,169636.23083333342,0.0,0.0,0,88.348,283.9555555555556
2804,10,27,2,14.0,204.25,169636.6452777779,0.0,0.0,1,87.975,282.3829787234043
2805,10,27,1,32.0,203.15625,169637.8225000001,0.0,0.0,5,88.927,278.04347826086956
2806,11,27,2,4.0,170.46835443037975,170063.18166666676,0.0,0.0,8,89.691,194.46969696969697
2807,11,27,2,4.0,157.04651162790697,170061.0422222223,0.0,0.0,9,90.894,194.19117647058823
2808,11,27,2,6.0,170.97402597402598,170064.67777777786,0.0,0.0,2,88.051,201.75384615384615
2809,11,27,2,8.0,167.64102564102564,170062.76416666678,0.0,0.0,6,89.666,199.13846153846154
2810,11,27,2,9.0,171.16455696202533,170061.17555555564,0.0,0.0,4,89.289,201.8181818181818
2811,11,27,2,10.0,169.37662337662337,170063.55694444454,0.0,0.0,7,89.183,202.046875
2812,11,27,2,14.0,172.93506493506493,170062.9200000001,0.0,0.0,0,88.348,203.43076923076924
2813,11,27,2,14.0,173.3846153846154,170065.6686111112,0.0,0.0,1,87.975,204.25
2814,11,27,1,32.0,171.2987012987013,170065.48416666675,0.0,0.0,5,88.927,203.15625
2815,12,27,2,4.0,192.55714285714285,170484.89305555564,0.0,0.0,8,89.691,170.46835443037975
2816,12,27,2,4.0,180.54794520547946,170485.92055555567,0.0,0.0,9,90.894,157.04651162790697
2817,12,27,2,6.0,198.09230769230768,170489.97333333344,0.0,0.0,2,88.051,170.97402597402598
2818,12,27,2,8.0,193.79710144927537,170486.05444444454,0.0,0.0,6,89.666,167.64102564102564
2819,12,27,2,9.0,193.65217391304347,170487.07583333342,0.0,0.0,4,89.289,171.16455696202533
2820,12,27,2,10.0,193.04285714285714,170491.31055555565,0.0,0.0,7,89.183,169.37662337662337
2821,12,27,2,14.0,197.26865671641792,170490.8375000001,0.0,0.0,0,88.348,172.93506493506493
2822,12,27,2,14.0,195.5,170489.17555555567,0.0,0.0,1,87.975,173.3846153846154
2823,12,27,1,32.0,194.1076923076923,170481.50805555563,0.0,0.0,5,88.927,171.2987012987013
2824,13,27,2,4.0,169.91935483870967,170824.02444444454,0.0,0.0,8,89.691,192.55714285714285
2825,13,27,2,4.0,162.078125,170813.24361111122,0.0,0.0,9,90.894,180.54794520547946
2826,13,27,2,6.0,177.51724137931035,170821.0950000001,0.0,0.0,2,88.051,198.09230769230768
2827,13,27,2,8.0,172.04761904761904,170821.56194444455,0.0,0.0,6,89.666,193.79710144927537
2828,13,27,2,9.0,173.984126984127,170824.48166666678,0.0,0.0,4,89.289,193.65217391304347
2829,13,27,2,10.0,169.80327868852459,170809.87027777787,0.0,0.0,7,89.183,193.04285714285714
2830,13,27,2,14.0,173.73333333333332,170816.18194444454,0.0,0.0,0,88.348,197.26865671641792
2831,13,27,2,14.0,176.13333333333333,170819.04166666677,0.0,0.0,1,87.975,195.5
2832,13,27,1,32.0,173.31666666666666,170818.04194444453,0.0,0.0,5,88.927,194.1076923076923
2833,1,28,2,5.0,249.60714285714286,172178.88972222235,0.0,0.0,8,88.991,169.91935483870967
2834,1,28,2,5.0,254.55555555555554,172183.908888889,0.0,0.0,9,89.829,162.078125
2835,1,28,2,7.0,254.77777777777777,172181.7177777779,0.0,0.0,2,87.962,177.51724137931035
2836,1,28,2,9.0,252.40740740740742,172183.971388889,0.0,0.0,6,89.719,172.04761904761904
2837,1,28,2,10.0,252.15384615384616,172173.99583333344,0.0,0.0,4,89.165,173.984126984127
2838,1,28,2,11.0,254.42307692307693,172184.366388889,0.0,0.0,7,89.164,169.80327868852459
2839,1,28,2,15.0,255.88,172178.131388889,0.0,0.0,0,87.935,173.73333333333332
2840,1,28,2,15.0,256.4074074074074,172189.0552777779,0.0,0.0,1,88.143,176.13333333333333
2841,1,28,1,33.0,249.8148148148148,172175.6952777779,0.0,0.0,5,89.131,173.31666666666666
2842,2,28,2,5.0,205.83333333333334,172605.51111111123,0.0,0.0,8,88.991,249.60714285714286
2843,2,28,2,5.0,193.75,172608.16527777788,0.0,0.0,9,89.829,254.55555555555554
2844,2,28,2,7.0,207.5151515151515,172612.9080555557,0.0,0.0,2,87.962,254.77777777777777
2845,2,28,2,9.0,202.24242424242425,172608.2977777779,0.0,0.0,6,89.719,252.40740740740742
2846,2,28,2,10.0,203.75757575757575,172611.93361111122,0.0,0.0,4,89.165,252.15384615384616
2847,2,28,2,11.0,206.53030303030303,172612.47833333345,0.0,0.0,7,89.164,254.42307692307693
2848,2,28,2,15.0,207.21875,172607.87472222233,0.0,0.0,0,87.935,255.88
2849,2,28,2,15.0,207.91803278688525,172611.68944444455,0.0,0.0,1,88.143,256.4074074074074
2850,2,28,1,33.0,204.23880597014926,172614.3077777779,0.0,0.0,5,89.131,249.8148148148148
2851,3,28,2,5.0,257.54901960784315,173029.39333333346,0.0,0.0,8,88.991,205.83333333333334
2852,3,28,2,5.0,252.6346153846154,173026.03666666677,0.0,0.0,9,89.829,193.75
2853,3,28,2,7.0,264.18,173026.47555555566,0.0,0.0,2,87.962,207.5151515151515
2854,3,28,2,9.0,255.56603773584905,173033.95805555567,0.0,0.0,6,89.719,202.24242424242425
2855,3,28,2,10.0,259.7843137254902,173039.12694444455,0.0,0.0,4,89.165,203.75757575757575
2856,3,28,2,11.0,260.4,173026.40111111122,0.0,0.0,7,89.164,206.53030303030303
2857,3,28,2,15.0,262.8775510204082,173036.57972222235,0.0,0.0,0,87.935,207.21875
2858,3,28,2,15.0,256.44,173032.9950000001,0.0,0.0,1,88.143,207.91803278688525
2859,3,28,1,33.0,257.86538461538464,173037.8625000001,0.0,0.0,5,89.131,204.23880597014926
2860,4,28,2,5.0,191.11428571428573,173461.9716666668,0.0,0.0,8,88.991,257.54901960784315
2861,4,28,2,5.0,184.0810810810811,173459.32500000013,0.0,0.0,9,89.829,252.6346153846154
2862,4,28,2,7.0,194.91304347826087,173460.42972222232,0.0,0.0,2,87.962,264.18
2863,4,28,2,9.0,188.24285714285713,173460.20722222235,0.0,0.0,6,89.719,255.56603773584905
2864,4,28,2,10.0,189.83823529411765,173457.82694444456,0.0,0.0,4,89.165,259.7843137254902
2865,4,28,2,11.0,190.28169014084506,173457.09250000012,0.0,0.0,7,89.164,260.4
2866,4,28,2,15.0,196.13636363636363,173457.9066666668,0.0,0.0,0,87.935,262.8775510204082
2867,4,28,2,15.0,198.04545454545453,173458.10722222234,0.0,0.0,1,88.143,256.44
2868,4,28,1,33.0,193.04347826086956,173463.10722222234,0.0,0.0,5,89.131,257.86538461538464
2869,5,28,2,5.0,234.41071428571428,173885.41361111123,0.0,0.0,8,88.991,191.11428571428573
2870,5,28,2,5.0,237.875,173878.336388889,0.0,0.0,9,89.829,184.0810810810811
2871,5,28,2,7.0,235.8448275862069,173887.81444444455,0.0,0.0,2,87.962,194.91304347826087
2872,5,28,2,9.0,231.3684210526316,173880.4966666668,0.0,0.0,6,89.719,188.24285714285713
2873,5,28,2,10.0,233.32758620689654,173882.481388889,0.0,0.0,4,89.165,189.83823529411765
2874,5,28,2,11.0,232.125,173880.83833333344,0.0,0.0,7,89.164,190.28169014084506
2875,5,28,2,15.0,232.1551724137931,173879.78444444455,0.0,0.0,0,87.935,196.13636363636363
2876,5,28,2,15.0,231.46428571428572,173877.22694444456,0.0,0.0,1,88.143,198.04545454545453
2877,5,28,1,33.0,230.4655172413793,173881.4927777779,0.0,0.0,5,89.131,193.04347826086956
2878,6,28,2,5.0,298.4222222222222,174309.70000000013,0.0,0.0,8,88.991,234.41071428571428
2879,6,28,2,5.0,318.1666666666667,174305.93444444457,0.0,0.0,9,89.829,237.875
2880,6,28,2,7.0,301.13953488372096,174308.82833333345,0.0,0.0,2,87.962,235.8448275862069
2881,6,28,2,9.0,296.77272727272725,174308.99444444457,0.0,0.0,6,89.719,231.3684210526316
2882,6,28,2,10.0,295.6818181818182,174304.73472222235,0.0,0.0,4,89.165,233.32758620689654
2883,6,28,2,11.0,298.97777777777776,174309.29694444456,0.0,0.0,7,89.164,232.125
2884,6,28,2,15.0,301.6666666666667,174310.2191666668,0.0,0.0,0,87.935,232.1551724137931
2885,6,28,2,15.0,299.26666666666665,174299.35138888902,0.0,0.0,1,88.143,231.46428571428572
2886,6,28,1,33.0,296.5681818181818,174306.61833333346,0.0,0.0,5,89.131,230.4655172413793
2887,7,28,2,5.0,152.0681818181818,174734.11305555567,0.0,0.0,8,88.991,298.4222222222222
2888,7,28,2,5.0,153.03488372093022,174732.23361111124,0.0,0.0,9,89.829,318.1666666666667
2889,7,28,2,7.0,155.8,174735.20027777788,0.0,0.0,2,87.962,301.13953488372096
2890,7,28,2,9.0,149.02197802197801,174736.62861111123,0.0,0.0,6,89.719,296.77272727272725
2891,7,28,2,10.0,153.91011235955057,174737.093888889,0.0,0.0,4,89.165,295.6818181818182
2892,7,28,2,11.0,149.25842696629215,174734.41722222234,0.0,0.0,7,89.164,298.97777777777776
2893,7,28,2,15.0,155.91860465116278,174731.73305555567,0.0,0.0,0,87.935,301.6666666666667
2894,7,28,2,15.0,157.97674418604652,174732.4741666668,0.0,0.0,1,88.143,299.26666666666665
2895,7,28,1,33.0,154.16091954022988,174731.89472222235,0.0,0.0,5,89.131,296.5681818181818
2896,8,28,2,5.0,248.74074074074073,175158.04944444456,0.0,0.0,8,88.991,152.0681818181818
2897,8,28,2,5.0,249.8490566037736,175154.058888889,0.0,0.0,9,89.829,153.03488372093022
2898,8,28,2,7.0,249.7962962962963,175159.42055555567,0.0,0.0,2,87.962,155.8
2899,8,28,2,9.0,244.52830188679246,175153.5566666668,0.0,0.0,6,89.719,149.02197802197801
2900,8,28,2,10.0,246.96153846153845,175151.5366666668,0.0,0.0,4,89.165,153.91011235955057
2901,8,28,2,11.0,251.35849056603774,175162.11666666679,0.0,0.0,7,89.164,149.25842696629215
2902,8,28,2,15.0,246.77777777777777,175149.70805555567,0.0,0.0,0,87.935,155.91860465116278
2903,8,28,2,15.0,244.82142857142858,175161.8155555557,0.0,0.0,1,88.143,157.97674418604652
2904,8,28,1,33.0,242.3090909090909,175159.22638888902,0.0,0.0,5,89.131,154.16091954022988
2905,9,28,2,5.0,277.1875,175587.0252777779,0.0,0.0,8,88.991,248.74074074074073
2906,9,28,2,5.0,269.7959183673469,175582.83222222235,0.0,0.0,9,89.829,249.8490566037736
2907,9,28,2,7.0,286.69565217391306,175585.1700000001,0.0,0.0,2,87.962,249.7962962962963
2908,9,28,2,9.0,280.1041666666667,175580.45833333346,0.0,0.0,6,89.719,244.52830188679246
2909,9,28,2,10.0,279.04347826086956,175577.2577777779,0.0,0.0,4,89.165,246.96153846153845
2910,9,28,2,11.0,274.9387755102041,175586.42666666678,0.0,0.0,7,89.164,251.35849056603774
2911,9,28,2,15.0,284.8723404255319,175583.54416666678,0.0,0.0,0,87.935,246.77777777777777
2912,9,28,2,15.0,283.0851063829787,175582.75583333345,0.0,0.0,1,88.143,244.82142857142858
2913,9,28,1,33.0,282.5,175581.521388889,0.0,0.0,5,89.131,242.3090909090909
2914,10,28,2,5.0,201.609375,176008.48222222234,0.0,0.0,8,88.991,277.1875
2915,10,28,2,5.0,200.98507462686567,176010.11444444457,0.0,0.0,9,89.829,269.7959183673469
