,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
280,0 days 00:47:19.958000,5,0 days 00:01:56.394000,2,3,,,0 days 00:00:20.396000,0 days 00:00:52.062000,0 days 00:00:43.936000,0 days 00:45:43.960000,0 days 00:46:36.022000,0 days 00:47:19.958000,259.0,226.0,225.0,258.0,False,SOFT,7.0,False,0 days 00:45:23.564000,Aston Martin,VET,1,True,2021-12-11 13:30:23.748
281,0 days 00:48:44.263000,5,0 days 00:01:24.305000,3,3,,,0 days 00:00:17.319000,,,0 days 00:47:37.292000,,,287.0,,222.0,317.0,True,SOFT,8.0,False,0 days 00:47:19.958000,Aston Martin,VET,1,False,2021-12-11 13:32:20.142
282,0 days 00:50:36.696000,5,0 days 00:01:52.433000,1,4,,0 days 00:50:35.520000,0 days 00:00:24.492000,0 days 00:00:43.957000,0 days 00:00:43.984000,0 days 00:49:08.755000,0 days 00:49:52.712000,0 days 00:50:36.696000,248.0,237.0,,254.0,False,SOFT,5.0,False,0 days 00:48:44.263000,Aston Martin,VET,1,False,2021-12-11 13:33:44.447
283,0 days 00:54:42.184000,5,,2,4,0 days 00:52:51.998000,,,0 days 00:00:47.455000,0 days 00:00:40.649000,,0 days 00:54:01.535000,0 days 00:54:42.185000,253.0,221.0,211.0,216.0,False,SOFT,2.0,True,0 days 00:50:36.696000,Aston Martin,VET,2,False,2021-12-11 13:35:36.880
284,0 days 00:56:30.244000,5,,3,4,,,0 days 00:00:19.857000,0 days 00:00:47.550000,0 days 00:00:40.649000,0 days 00:55:02.079000,0 days 00:55:49.595000,0 days 00:57:35.650000,262.0,199.0,214.0,246.0,False,SOFT,3.0,True,0 days 00:54:42.184000,Aston Martin,VET,1,False,2021-12-11 13:39:42.368
285,0 days 00:57:54.559000,5,0 days 00:01:24.315000,1,4,,,0 days 00:00:17.443000,0 days 00:00:36.143000,0 days 00:00:30.729000,0 days 00:56:47.687000,0 days 00:57:23.830000,0 days 00:57:54.559000,288.0,317.0,224.0,321.0,False,SOFT,4.0,True,0 days 00:56:30.244000,Aston Martin,VET,2,True,2021-12-11 13:41:30.428
286,0 days 00:59:45.810000,5,0 days 00:01:51.251000,2,4,,0 days 01:00:54.052000,0 days 00:00:23.371000,0 days 00:00:44.525000,0 days 00:00:43.355000,0 days 00:58:17.930000,0 days 00:59:02.455000,0 days 00:59:45.810000,201.0,198.0,,212.0,False,SOFT,5.0,True,0 days 00:57:54.559000,Aston Martin,VET,1,False,2021-12-11 13:42:54.743
287,0 days 00:20:20.409000,6,,3,1,0 days 00:18:25.619000,,,0 days 00:00:41.062000,0 days 00:00:52.176000,,0 days 00:19:28.275000,0 days 00:20:20.675000,275.0,256.0,222.0,292.0,False,SOFT,1.0,True,0 days 00:18:25.619000,Williams,LAT,1,False,2021-12-11 13:03:25.803
288,0 days 00:21:45.559000,6,0 days 00:01:25.150000,1,1,,,0 days 00:00:17.310000,0 days 00:00:36.769000,0 days 00:00:31.071000,0 days 00:20:37.719000,0 days 00:21:14.488000,0 days 00:21:45.559000,288.0,318.0,220.0,322.0,False,SOFT,2.0,True,0 days 00:20:20.409000,Williams,LAT,1,True,2021-12-11 13:05:20.593
289,0 days 00:23:56.804000,6,0 days 00:02:11.245000,2,1,,,0 days 00:00:22.918000,0 days 00:00:52.246000,0 days 00:00:56.081000,0 days 00:22:08.477000,0 days 00:23:00.723000,0 days 00:23:56.804000,244.0,192.0,225.0,201.0,False,SOFT,3.0,True,0 days 00:21:45.559000,Williams,LAT,1,True,2021-12-11 13:06:45.743
